z [m],qc [MPa],fs [MPa],u2 [MPa],ID,Blowcount [Blows/m],Normalised ENTRHU [-],Normalised hammer energy [-],Number of blows,Diameter [m],Bottom wall thickness [mm],Pile penetration [m]
20.5,27.6358,0.279,-0.154375,EK,80.0,0.447875,0.5971666666666666,928.0,2.48,50.0,31.0
21.0,29.6488,0.373,0.157625,EK,72.0,0.445875,0.5945,961.0,2.48,50.0,31.0
21.5,29.362408,0.362568,0.181037,EK,70.0,0.4447208333333333,0.5929583333333334,998.0,2.48,50.0,31.0
22.0,30.77104133333333,0.3705346666666667,0.190237,EK,68.0,0.4435666666666667,0.5914166666666667,1035.0,2.48,50.0,31.0
22.5,32.17967466666667,0.3785013333333334,0.199437,EK,70.0,0.449875,0.5998333333333333,1072.0,2.48,50.0,31.0
23.0,34.6297,0.4392,0.200525,EK,72.0,0.4561833333333333,0.60825,1109.0,2.48,50.0,31.0
23.5,32.3491,0.4046,0.212725,EK,74.0,0.4527791666666666,0.6037083333333333,1147.5,2.48,50.0,31.0
24.0,28.9638,0.3913,0.191725,EK,76.0,0.449375,0.5991666666666666,1186.0,2.48,50.0,31.0
24.5,22.977,0.3166,0.165725,EK,74.0,0.451,0.6013333333333333,1225.0,2.48,50.0,31.0
25.0,21.7444,0.2807,0.225025,EK,72.0,0.452625,0.6035,1264.0,2.48,50.0,31.0
25.5,23.23762307692308,0.2942769230769231,0.2314903846153846,EK,76.0,0.4570625,0.6094166666666667,1304.0,2.48,50.0,31.0
26.0,27.8357,0.3416,0.238375,EK,80.0,0.4615,0.6153333333333333,1344.0,2.48,50.0,31.0
26.5,33.0486,0.4349,0.242475,EK,82.0,0.4645916666666666,0.6194583333333332,1385.5,2.48,50.0,31.0
27.0,32.1517,0.4384,0.242775,EK,84.0,0.4676833333333333,0.6235833333333333,1427.0,2.48,50.0,31.0
27.5,41.9761,0.4703,0.250275,EK,84.0,0.4814666666666667,0.6419583333333333,1470.0,2.48,50.0,31.0
28.0,41.1545,0.6027,0.251075,EK,84.0,0.49525,0.6603333333333333,1513.0,2.48,50.0,31.0
28.5,31.00456,0.414588,0.263481,EK,86.0,0.4922208333333333,0.6562916666666667,1556.5,2.48,50.0,31.0
29.0,48.9168,0.5254,0.253925,EK,88.0,0.4891916666666666,0.65225,1600.0,2.48,50.0,31.0
29.5,53.07168163265306,0.7695081632653061,0.2748380612244898,EK,92.0,0.4953125,0.6604166666666667,1647.5,2.48,50.0,31.0
30.0,71.71943673469387,0.8032836734693878,0.2967538775510204,EK,96.0,0.5014333333333334,0.6685833333333333,1695.0,2.48,50.0,31.0
30.5,74.6972,0.7266,0.312625,EK,,,,,2.48,50.0,31.0
31.0,71.1027,0.7892,0.31775,EK,,,,,2.48,50.0,31.0
31.5,71.5561,0.8233333333333334,0.322875,EK,,,,,,,
32.0,61.9935,0.839,0.328,EK,,,,,,,
32.5,88.66573703703708,0.9320518518518518,0.333125,EK,,,,,,,
33.0,71.1125,0.7239,0.33825,EK,,,,,,,
33.5,73.9782,0.8763,0.343375,EK,,,,,,,
34.0,83.52790000000009,1.009766666666667,0.3485,EK,,,,,,,
34.5,66.5737,0.8596,0.353625,EK,,,,,,,
35.0,68.3659,0.9051,0.35875,EK,,,,,,,
35.5,64.625748,0.8743320000000001,0.363875,EK,,,,,,,
36.0,64.5436,0.8445,0.369,EK,,,,,,,
36.5,37.1605,0.7204,0.374125,EK,,,,,,,
37.0,64.81966666666665,0.7996000000000003,0.37925,EK,,,,,,,
37.5,65.0593,0.722,0.384375,EK,,,,,,,
38.0,68.2308,0.6528,0.3895,EK,,,,,,,
38.5,78.55290400000001,0.8488360000000003,0.394625,EK,,,,,,,
39.0,69.1674,0.7634,0.39975,EK,,,,,,,
39.5,68.7791,0.8078,0.404875,EK,,,,,,,
0.5,0.6084090909090909,-0.003936363636363636,0.01498181818181818,DE,,,,,2.48,50.0,30.0
1.0,4.370536363636364,0.01526363636363636,0.01718181818181818,DE,,,,,2.48,50.0,30.0
1.5,8.2079,0.0566,0.024,DE,,,,,2.48,50.0,30.0
2.0,10.8656,0.0738,0.029,DE,,,,,2.48,50.0,30.0
2.5,14.44511,0.09086,0.0366,DE,,,,,2.48,50.0,30.0
3.0,15.06646065573771,0.1099786885245902,0.04283114754098361,DE,,,,,2.48,50.0,30.0
3.5,11.89726363636364,0.05823636363636366,0.04016818181818183,DE,,,,,2.48,50.0,30.0
4.0,16.08314,0.10108,0.04893000000000002,DE,8.0,0.090625,0.1208333333333333,18.0,2.48,50.0,30.0
4.5,13.88093999999999,0.10078,0.05579000000000001,DE,6.0,0.090625,0.1208333333333333,19.5,2.48,50.0,30.0
5.0,17.89286,0.12414,0.06160999999999998,DE,4.0,0.090625,0.1208333333333333,21.0,2.48,50.0,30.0
5.5,18.01523333333333,0.1438333333333333,0.06781666666666666,DE,4.0,0.112265625,0.1496875,21.875,2.48,50.0,30.0
6.0,17.6158900140647,0.1352770745428973,0.07358600562587904,DE,4.0,0.13390625,0.1785416666666667,22.75,2.48,50.0,30.0
6.5,18.53860450070324,0.1106638537271449,0.07267180028129396,DE,14.0,0.1129822916666667,0.1506458333333334,28.375,2.48,50.0,30.0
7.0,19.46131898734177,0.0860506329113924,0.07175759493670886,DE,24.0,0.09205833333333334,0.12275,34.0,2.48,50.0,30.0
7.5,26.51514444444445,0.1208333333333334,0.07292777777777781,DE,42.0,0.1018125,0.13575,50.5,2.48,50.0,30.0
8.0,34.16952,0.2011200000000001,0.07982000000000002,DE,60.0,0.1115666666666667,0.14875,67.0,2.48,50.0,30.0
8.5,36.60646000000001,0.2319899999999999,0.08505000000000001,DE,72.0,0.1163791666666667,0.1551666666666666,106.5,2.48,50.0,30.0
9.0,34.36162727272727,0.1565909090909091,0.09340454545454548,DE,84.0,0.1211916666666667,0.1615833333333333,146.0,2.48,50.0,30.0
9.5,36.29371111111111,0.1348555555555553,0.09915000000000002,DE,62.0,0.1275,0.17,167.5,2.48,50.0,30.0
10.0,41.09509621451105,0.1877429022082019,0.1046272870662461,DE,40.0,0.1338083333333333,0.1784166666666667,189.0,2.48,50.0,30.0
10.5,16.73178000000001,0.6175599999999981,0.1019399999999999,DE,46.0,0.1491541666666666,0.198875,213.5,2.48,50.0,30.0
11.0,13.06015,0.10997,0.07402999999999985,DE,52.0,0.1645,0.2193333333333333,238.0,2.48,50.0,30.0
11.5,7.510950000000017,0.1412399999999998,0.1086500000000005,DE,54.0,0.1710291666666666,0.2280416666666666,248.5,2.48,50.0,30.0
12.0,16.3174,0.1225,-0.07409999999999999,DE,56.0,0.1775583333333333,0.23675,259.0,2.48,50.0,30.0
12.5,5.803572727272732,0.1293727272727274,-0.1038818181818182,DE,82.0,0.1703416666666666,0.227125,289.5,2.48,50.0,30.0
13.0,21.16022080894092,0.08767205960617351,-0.09070395156998412,DE,108.0,0.163125,0.2175,320.0,2.48,50.0,30.0
13.5,23.40143954230973,0.07913028206492816,-0.02576914582224595,DE,108.0,0.1819041666666666,0.2425416666666667,378.0,2.48,50.0,30.0
14.0,25.64265827567855,0.07058850452368282,0.03916565992549223,DE,108.0,0.2006833333333333,0.2675833333333333,436.0,2.48,50.0,30.0
14.5,27.88387700904736,0.06204672698243748,0.1041004656732304,DE,102.0,0.236125,0.3148333333333333,488.0,2.48,50.0,30.0
15.0,34.51244999999999,0.2827749999999994,0.1382,DE,96.0,0.2715666666666667,0.3620833333333333,540.0,2.48,50.0,30.0
15.5,40.38927142857143,0.4043,0.1465821428571428,DE,96.0,0.2888125,0.3850833333333333,585.0,2.48,50.0,30.0
16.0,42.05147101449276,0.4428847826086956,0.1457643025362319,DE,96.0,0.3060583333333333,0.4080833333333333,630.0,2.48,50.0,30.0
16.5,46.97047272727274,0.5149090909090912,0.169125,DE,90.0,0.3064666666666667,0.408625,670.0,2.48,50.0,30.0
17.0,47.74040909090913,0.6052090909090895,0.17425,DE,84.0,0.306875,0.4091666666666667,710.0,2.48,50.0,30.0
17.5,34.87371018998274,0.5438742659758206,0.179375,DE,92.0,0.3085,0.4113333333333333,757.5,2.48,50.0,30.0
18.0,28.01154545454546,0.412018181818182,0.1845,DE,100.0,0.310125,0.4135,805.0,2.48,50.0,30.0
18.5,25.14176363636368,0.4413454545454538,0.189625,DE,94.0,0.325625,0.4341666666666666,852.0,2.48,50.0,30.0
19.0,35.51935355383534,0.3370412385643915,0.1855901980999297,DE,88.0,0.341125,0.4548333333333333,899.0,2.48,50.0,30.0
19.5,31.57508895144266,0.2575549612948629,0.1519024781843773,DE,88.0,0.3530291666666666,0.4707083333333333,944.0,2.48,50.0,30.0
20.0,27.63082434904997,0.1780686840253344,0.1182147582688249,DE,88.0,0.3649333333333333,0.4865833333333333,989.0,2.48,50.0,30.0
20.5,35.97426666666667,0.2802,0.1854333333333333,DE,88.0,0.3616833333333333,0.4824583333333333,1044.0,2.48,50.0,30.0
21.0,38.93887142857141,0.4041857142857145,0.1677000000000001,DE,88.0,0.3584333333333333,0.4783333333333333,1099.0,2.48,50.0,30.0
21.5,40.588975,0.428825,0.2082625,DE,94.0,0.3561541666666667,0.4750833333333333,1148.5,2.48,50.0,30.0
22.0,42.50505714285713,0.4474428571428572,0.2148714285714289,DE,100.0,0.353875,0.4718333333333334,1198.0,2.48,50.0,30.0
22.5,42.622,0.4698,0.2139,DE,102.0,0.3528125,0.4704166666666667,1249.0,2.48,50.0,30.0
23.0,34.58027307692311,0.2710567307692313,0.2145641826923077,DE,104.0,0.35175,0.469,1300.0,2.48,50.0,30.0
23.5,42.6086,0.3626,0.21205,DE,108.0,0.351125,0.4681666666666666,1354.5,2.48,50.0,30.0
24.0,49.23834,0.4354599999999997,0.2206899999999998,DE,112.0,0.3505,0.4673333333333333,1409.0,2.48,50.0,30.0
24.5,9.940927272727397,0.4492636363636349,0.251125,DE,110.0,0.36825,0.491,1462.5,2.48,50.0,30.0
25.0,31.73414000000001,0.3970600000000003,0.25625,DE,108.0,0.386,0.5146666666666667,1516.0,2.48,50.0,30.0
25.5,29.89037781818183,0.3840952727272727,0.261375,DE,108.0,0.4024375,0.5365833333333334,1565.5,2.48,50.0,30.0
26.0,38.9103,0.4522,0.2665,DE,108.0,0.418875,0.5585,1615.0,2.48,50.0,30.0
26.5,46.15276000000001,0.6630899999999985,0.2716250000000001,DE,112.0,0.4160625,0.5547500000000001,1668.5,2.48,50.0,30.0
27.0,47.01380425101213,0.7309993927125495,0.27675,DE,116.0,0.41325,0.551,1722.0,2.48,50.0,30.0
27.5,47.38796666666667,0.5591999999999999,0.281875,DE,110.0,0.4345916666666667,0.5794583333333334,1775.5,2.48,50.0,30.0
28.0,49.27257999999993,0.7179199999999993,0.287,DE,104.0,0.4559333333333334,0.6079166666666667,1829.0,2.48,50.0,30.0
28.5,52.97734999999997,0.718612499999999,0.292125,DE,104.0,0.4605583333333333,0.6140833333333333,1881.0,2.48,50.0,30.0
29.0,49.3917555555555,0.5773666666666655,0.29725,DE,104.0,0.4651833333333333,0.62025,1933.0,2.48,50.0,30.0
29.5,56.57884000000001,0.6419200000000007,0.302375,DE,,,,,2.48,50.0,30.0
30.0,50.15946313465784,0.614232671081678,0.3075000000000001,DE,,,,,2.48,50.0,30.0
30.5,44.40750000000001,0.4488799999999999,0.312625,DE,,,,,,,
31.0,55.0728,0.6107,0.31775,DE,,,,,,,
31.5,51.06890874737579,0.7567217634709588,0.322875,DE,,,,,,,
32.0,52.46408019594121,0.6515083275017497,0.328,DE,,,,,,,
32.5,53.85925164450664,0.5462948915325406,0.333125,DE,,,,,,,
33.0,65.08970000000004,0.8553222222222177,0.33825,DE,,,,,,,
33.5,50.6566,0.6581,0.343375,DE,,,,,,,
34.0,48.9255653846154,0.6065346153846158,0.3485,DE,,,,,,,
34.5,51.48043333333342,0.5997444444444479,0.353625,DE,,,,,,,
35.0,68.19782500000005,0.9266250000000019,0.35875,DE,,,,,,,
35.5,79.7390967065868,0.9420541916167653,0.363875,DE,,,,,,,
36.0,76.45238571428581,1.242328571428566,0.369,DE,,,,,,,
36.5,51.57421000000003,0.8212000000000043,0.374125,DE,,,,,,,
37.0,45.76879561403509,0.6518688596491226,0.37925,DE,,,,,,,
37.5,69.28054285714288,0.7997285714285741,0.384375,DE,,,,,,,
38.0,66.32841111111078,0.9771444444444465,0.3895,DE,,,,,,,
38.5,64.2671246334311,0.7804087976539574,0.394625,DE,,,,,,,
39.0,83.70254999999958,1.131450000000003,0.39975,DE,,,,,,,
39.5,95.70530000000021,1.282937500000009,0.404875,DE,,,,,,,
0.5,0.5323,0.0017,0.0084,CS,,,,,2.48,50.0,27.0
1.0,1.7782,0.0078,0.019,CS,,,,,2.48,50.0,27.0
1.5,7.9774,0.0449,0.016,CS,,,,,2.48,50.0,27.0
2.0,12.4693,0.0874,0.0235,CS,,,,,2.48,50.0,27.0
2.5,14.0537,0.1008,0.0268,CS,,,,,2.48,50.0,27.0
3.0,12.95991951219512,0.1019585365853659,0.0381719512195122,CS,,,,,2.48,50.0,27.0
3.5,10.1149,0.0708,0.05285,CS,,,,,2.48,50.0,27.0
4.0,11.9941,0.0801,0.05815,CS,8.0,0.134375,0.1791666666666667,5.0,2.48,50.0,27.0
4.5,13.6707,0.0894,0.06045,CS,10.8,0.1350625,0.1800833333333333,8.1,2.48,50.0,27.0
5.0,10.4861,0.0721,0.06295,CS,13.6,0.13575,0.181,11.2,2.48,50.0,27.0
5.5,7.1208,0.0493,0.06325,CS,8.8,0.12975,0.173,11.6,2.48,50.0,27.0
6.0,4.909648,0.030088,0.02127600000000007,CS,4.0,0.12375,0.165,12.0,2.48,50.0,27.0
6.5,7.2905,0.0423,-0.06689999999999999,CS,10.0,0.1303125,0.17375,19.5,2.48,50.0,27.0
7.0,13.7781,0.0883,0.0117,CS,16.0,0.136875,0.1825,27.0,2.48,50.0,27.0
7.5,17.7668,0.0974,0.0737,CS,24.0,0.134375,0.1791666666666666,37.0,2.48,50.0,27.0
8.0,19.6337,0.123,0.0974,CS,32.0,0.131875,0.1758333333333333,47.0,2.48,50.0,27.0
8.5,25.4961,0.1741,0.102,CS,40.0,0.1275,0.17,73.0,2.48,50.0,27.0
9.0,28.85074999999999,0.1977999999999999,0.1005166666666667,CS,48.0,0.123125,0.1641666666666667,99.0,2.48,50.0,27.0
9.5,33.31887499999999,0.2357166666666666,0.1072527777777778,CS,54.0,0.1309375,0.1745833333333334,127.5,2.48,50.0,27.0
10.0,37.78699999999999,0.2736333333333333,0.1139888888888889,CS,60.0,0.13875,0.185,156.0,2.48,50.0,27.0
10.5,46.0994,0.3714,0.115,CS,62.0,0.1578125,0.2104166666666666,186.0,2.48,50.0,27.0
11.0,47.9067,0.4066,0.1032,CS,64.0,0.176875,0.2358333333333333,216.0,2.48,50.0,27.0
11.5,34.5832,0.2789,0.08050000000000002,CS,76.0,0.193125,0.2575,256.5,2.48,50.0,27.0
12.0,30.8654,0.1813,0.06200000000000001,CS,88.0,0.209375,0.2791666666666667,297.0,2.48,50.0,27.0
12.5,31.257,0.1562,0.0907,CS,88.0,0.251875,0.3358333333333333,343.0,2.48,50.0,27.0
13.0,32.58018695652174,0.173304347826087,0.1005760869565218,CS,88.0,0.294375,0.3925,389.0,2.48,50.0,27.0
13.5,41.9354,0.2603,0.12315,CS,82.0,0.325625,0.4341666666666666,432.0,2.48,50.0,27.0
14.0,38.4675,0.2996,0.12405,CS,76.0,0.356875,0.4758333333333333,475.0,2.48,50.0,27.0
14.5,28.7355,0.2397,0.11785,CS,82.0,0.354375,0.4725,518.5,2.48,50.0,27.0
15.0,30.7927,0.2474,0.10615,CS,88.0,0.351875,0.4691666666666667,562.0,2.48,50.0,27.0
15.5,34.3584,0.2713,0.10975,CS,88.0,0.381875,0.5091666666666667,604.5,2.48,50.0,27.0
16.0,40.32057391304348,0.2877304347826086,0.09127826086956518,CS,88.0,0.411875,0.5491666666666667,647.0,2.48,50.0,27.0
16.5,40.2387,0.2434,0.1107,CS,90.0,0.4153125,0.55375,690.5,2.48,50.0,27.0
17.0,45.1309,0.2414,0.06140000000000001,CS,92.0,0.41875,0.5583333333333333,734.0,2.48,50.0,27.0
17.5,48.1257,0.3687,0.1338,CS,90.0,0.4190625,0.5587500000000001,775.0,2.48,50.0,27.0
18.0,50.4971,0.3807,0.1238,CS,88.0,0.419375,0.5591666666666667,816.0,2.48,50.0,27.0
18.5,44.8578,0.2573,0.04380000000000001,CS,86.0,0.438125,0.5841666666666667,859.5,2.48,50.0,27.0
19.0,45.45973835616439,0.316413698630137,0.1123383561643835,CS,84.0,0.456875,0.6091666666666666,903.0,2.48,50.0,27.0
19.5,44.26237534246575,0.2836054794520548,0.1074753424657534,CS,84.0,0.465,0.62,944.5,2.48,50.0,27.0
20.0,43.06501232876712,0.2507972602739726,0.1026123287671233,CS,84.0,0.473125,0.6308333333333334,986.0,2.48,50.0,27.0
20.5,41.4237,0.279,0.1604,CS,88.0,0.468125,0.6241666666666668,1029.0,2.48,50.0,27.0
21.0,41.2062,0.3468,0.1882,CS,92.0,0.463125,0.6175,1072.0,2.48,50.0,27.0
21.5,45.9694,0.3784,0.1698,CS,92.0,0.460625,0.6141666666666667,1117.5,2.48,50.0,27.0
22.0,50.984,0.3963,0.1631,CS,92.0,0.458125,0.6108333333333333,1163.0,2.48,50.0,27.0
22.5,57.6959,0.4578,0.1547,CS,92.0,0.4621875,0.61625,1208.5,2.48,50.0,27.0
23.0,56.67036086956521,0.4307086956521738,0.1707282608695652,CS,92.0,0.46625,0.6216666666666667,1254.0,2.48,50.0,27.0
23.5,57.0672,0.4251,0.21395,CS,92.0,0.5096875,0.6795833333333334,1300.5,2.48,50.0,27.0
24.0,58.4412,0.4793,0.21135,CS,92.0,0.553125,0.7375,1347.0,2.48,50.0,27.0
24.5,59.9155,0.5041,0.18875,CS,88.0,0.5496875,0.7329166666666667,1390.0,2.48,50.0,27.0
25.0,62.92926296296297,0.7911111111111103,0.211364074074074,CS,84.0,0.54625,0.7283333333333334,1433.0,2.48,50.0,27.0
25.5,66.4564,1.3265,0.261375,CS,84.0,0.5534375,0.7379166666666668,1476.5,2.48,50.0,27.0
26.0,58.5718,0.9828,0.2665,CS,84.0,0.560625,0.7475,1520.0,2.48,50.0,27.0
26.5,60.88628181818182,1.055036363636364,0.271625,CS,92.0,0.5365625,0.7154166666666667,1564.0,2.48,50.0,27.0
27.0,61.4914,1.11,0.27675,CS,100.0,0.5125,0.6833333333333333,1608.0,2.48,50.0,27.0
27.5,46.146,0.7057,0.281875,CS,,,,,,,
28.0,44.63584399999999,0.7094439999999999,0.287,CS,,,,,,,
28.5,61.7148,0.6156,0.292125,CS,,,,,,,
29.0,43.1469,0.4985,0.29725,CS,,,,,,,
29.5,38.250464,0.48222,0.302375,CS,,,,,,,
30.0,35.90619733333333,0.44922,0.3075,CS,,,,,,,
30.5,33.56193066666667,0.41622,0.312625,CS,,,,,,,
31.0,32.6433,0.4138,0.31775,CS,,,,,,,
31.5,33.1332,0.3785,0.322875,CS,,,,,,,
32.0,28.95556666666667,0.2691666666666667,0.31684,CS,,,,,,,
32.5,26.5457,0.1799,0.3012,CS,,,,,,,
33.0,36.5111,0.3177,0.2978,CS,,,,,,,
33.5,48.2141,0.4233,0.2847,CS,,,,,,,
34.0,59.60222307692308,0.9316666666666669,0.3264753846153847,CS,,,,,,,
34.5,70.4861,1.3994,0.353625,CS,,,,,,,
35.0,44.4522,1.0716,0.35875,CS,,,,,,,
35.5,75.77576666666671,1.424733333333334,0.363875,CS,,,,,,,
36.0,69.7179,1.516,0.369,CS,,,,,,,
36.5,71.4173,1.349,0.374125,CS,,,,,,,
37.0,69.08186666666667,1.372499999999999,0.37925,CS,,,,,,,
37.5,65.8334,1.3417,0.384375,CS,,,,,,,
38.0,81.2957,1.3949,0.3895,CS,,,,,,,
38.5,71.71665757575752,1.37760606060606,0.394625,CS,,,,,,,
39.0,58.8794,1.1929,0.39975,CS,,,,,,,
39.5,63.1455,1.3227,0.404875,CS,,,,,,,
40.0,63.39806666666667,1.333833333333334,0.41,CS,,,,,,,
40.5,68.0377,1.3174,0.415125,CS,,,,,,,
41.0,70.2726,1.4785,0.42025,CS,,,,,,,
0.5,1.7829,0.0091,0.0052,DH,,,,,2.48,50.0,25.0
1.0,4.9817,0.0406,0.0128,DH,,,,,2.48,50.0,25.0
1.5,8.0935,0.076,0.0215,DH,,,,,2.48,50.0,25.0
2.0,5.311779487179487,0.0559025641025641,0.02412564102564103,DH,,,,,2.48,50.0,25.0
2.5,6.377,0.071,0.0234,DH,,,,,2.48,50.0,25.0
3.0,5.3202,0.0664,0.032,DH,,,,,2.48,50.0,25.0
3.5,12.6585,0.1023,0.0369,DH,,,,,2.48,50.0,25.0
4.0,24.4607,0.1877,0.0444,DH,4.0,0.118125,0.1575,6.0,2.48,50.0,25.0
4.5,30.6983,0.2285,0.0576,DH,4.0,0.116875,0.1558333333333334,8.0,2.48,50.0,25.0
5.0,28.36514074074075,0.2288814814814815,0.05847222222222223,DH,4.0,0.115625,0.1541666666666667,10.0,2.48,50.0,25.0
5.5,25.3798,0.1761,0.05295,DH,4.0,0.1146875,0.1529166666666667,12.0,2.48,50.0,25.0
6.0,28.9156,0.2533,0.06605,DH,4.0,0.11375,0.1516666666666667,14.0,2.48,50.0,25.0
6.5,32.2062,0.275,0.08235,DH,8.0,0.116875,0.1558333333333334,19.5,2.48,50.0,25.0
7.0,33.7313,0.298,0.08305000000000001,DH,12.0,0.12,0.16,25.0,2.48,50.0,25.0
7.5,38.6281,0.2293,0.09485,DH,16.0,0.14,0.1866666666666666,35.5,2.48,50.0,25.0
8.0,38.85753333333334,0.3172333333333334,0.0917,DH,20.0,0.16,0.2133333333333333,46.0,2.48,50.0,25.0
8.5,42.3135,0.3629,0.0786,DH,28.0,0.210625,0.2808333333333333,59.5,2.48,50.0,25.0
9.0,40.4636,0.3231,0.0984,DH,36.0,0.26125,0.3483333333333333,73.0,2.48,50.0,25.0
9.5,40.82295,0.3160571428571429,0.1020125,DH,42.0,0.2753125,0.3670833333333333,93.5,2.48,50.0,25.0
10.0,38.47899166666667,0.2872476190476191,0.09925208333333334,DH,48.0,0.289375,0.3858333333333333,114.0,2.48,50.0,25.0
10.5,36.13503333333333,0.2584380952380952,0.09649166666666667,DH,54.0,0.3159375,0.42125,141.5,2.48,50.0,25.0
11.0,38.6701,0.2909,0.101425,DH,60.0,0.3425,0.4566666666666667,169.0,2.48,50.0,25.0
11.5,41.5156,0.2955,0.121125,DH,64.0,0.369375,0.4925,202.0,2.48,50.0,25.0
12.0,33.0212,0.1706,0.138025,DH,68.0,0.39625,0.5283333333333333,235.0,2.48,50.0,25.0
12.5,39.0013,0.2498,0.145925,DH,76.0,0.4028125,0.5370833333333334,275.0,2.48,50.0,25.0
13.0,38.477,0.2942,0.150125,DH,84.0,0.409375,0.5458333333333333,315.0,2.48,50.0,25.0
13.5,34.66345200000001,0.3091,0.136515,DH,76.0,0.4565625,0.6087499999999999,353.0,2.48,50.0,25.0
14.0,41.6245,0.3773,0.103975,DH,68.0,0.50375,0.6716666666666666,391.0,2.48,50.0,25.0
