ID location 1,ID location 2,Interdistance class
EK,EC,1500m - 3000m
EK,DT,500m - 1500m
EK,AD,>4500m
EK,AR,>4500m
EK,CM,1500m - 3000m
EK,CY,>4500m
EK,BD,>4500m
EK,EE,1500m - 3000m
EK,BO,1500m - 3000m
EK,CP,1500m - 3000m
EK,AO,>4500m
EK,DK,3000m - 4500m
EK,DN,1500m - 3000m
EK,AI,>4500m
EK,AL,>4500m
EK,BL,1500m - 3000m
EK,EH,500m - 1500m
EK,BA,>4500m
EK,DB,>4500m
EK,BK,3000m - 4500m
EK,EL,<500m
EK,DF,>4500m
EK,CT,>4500m
EK,CW,>4500m
EK,DI,3000m - 4500m
EK,BH,>4500m
EK,AB,>4500m
EK,CE,3000m - 4500m
EK,CB,>4500m
EK,DX,3000m - 4500m
EK,BY,>4500m
EK,CH,3000m - 4500m
EK,CK,1500m - 3000m
EK,AV,>4500m
EK,AG,>4500m
EK,DR,500m - 1500m
EK,AY,>4500m
EK,EA,3000m - 4500m
EK,BV,>4500m
EK,BS,>4500m
EK,DU,500m - 1500m
EK,AS,>4500m
EK,CN,1500m - 3000m
EK,CZ,>4500m
EK,BE,>4500m
EK,EF,1500m - 3000m
EK,BP,1500m - 3000m
EK,CQ,1500m - 3000m
EK,AP,>4500m
EK,DL,3000m - 4500m
EK,DO,1500m - 3000m
EK,AJ,>4500m
EK,AM,>4500m
EK,BM,1500m - 3000m
EK,EI,500m - 1500m
EK,BB,>4500m
EK,DC,>4500m
EK,EM,<500m
EK,DG,>4500m
EK,CU,>4500m
EK,CX,>4500m
EK,DJ,3000m - 4500m
EK,BI,>4500m
EK,AC,>4500m
EK,CF,3000m - 4500m
EK,CC,>4500m
EK,DY,3000m - 4500m
EK,BZ,>4500m
EK,CI,3000m - 4500m
EK,CL,1500m - 3000m
EK,AW,>4500m
EK,AH,>4500m
EK,DS,500m - 1500m
EK,AZ,>4500m
EK,EB,3000m - 4500m
EK,BW,>4500m
EK,BT,>4500m
EK,ED,1500m - 3000m
EK,DV,500m - 1500m
EK,AE,>4500m
EK,AT,>4500m
EK,CO,1500m - 3000m
EK,DA,>4500m
EK,BF,>4500m
EK,EG,1500m - 3000m
EK,BQ,1500m - 3000m
EK,CR,1500m - 3000m
EK,AQ,>4500m
EK,DM,3000m - 4500m
EK,DP,1500m - 3000m
EK,AK,>4500m
EK,AN,>4500m
EK,BN,1500m - 3000m
EK,EJ,500m - 1500m
EK,BC,>4500m
EK,DD,>4500m
DE,BJ,3000m - 4500m
DE,EK,>4500m
DE,DE,<500m
DE,CS,3000m - 4500m
DE,CV,1500m - 3000m
DE,DH,500m - 1500m
DE,BG,1500m - 3000m
DE,AA,>4500m
DE,CD,1500m - 3000m
DE,CA,1500m - 3000m
DE,DW,500m - 1500m
DE,BX,1500m - 3000m
DE,CG,1500m - 3000m
DE,CJ,3000m - 4500m
DE,AU,3000m - 4500m
DE,AF,>4500m
DE,DQ,3000m - 4500m
DE,AX,>4500m
DE,DZ,1500m - 3000m
DE,BU,3000m - 4500m
DE,BR,>4500m
DE,EC,1500m - 3000m
DE,DT,>4500m
DE,AD,>4500m
DE,AR,3000m - 4500m
DE,CM,3000m - 4500m
DE,CY,1500m - 3000m
DE,BD,3000m - 4500m
DE,EE,3000m - 4500m
DE,BO,>4500m
DE,CP,>4500m
DE,AO,>4500m
DE,DK,1500m - 3000m
DE,DN,3000m - 4500m
DE,AI,3000m - 4500m
DE,AL,>4500m
DE,BL,3000m - 4500m
DE,EH,3000m - 4500m
DE,BA,3000m - 4500m
DE,DB,500m - 1500m
DE,BK,3000m - 4500m
DE,EL,>4500m
DE,DF,<500m
DE,CT,3000m - 4500m
DE,CW,1500m - 3000m
DE,DI,500m - 1500m
DE,BH,1500m - 3000m
DE,AB,>4500m
DE,CE,1500m - 3000m
DE,CB,1500m - 3000m
DE,DX,500m - 1500m
DE,BY,1500m - 3000m
DE,CH,1500m - 3000m
DE,CK,3000m - 4500m
DE,AV,3000m - 4500m
DE,AG,>4500m
DE,DR,3000m - 4500m
DE,AY,>4500m
DE,EA,1500m - 3000m
DE,BV,3000m - 4500m
DE,BS,>4500m
DE,DU,>4500m
DE,AS,3000m - 4500m
DE,CN,3000m - 4500m
DE,CZ,1500m - 3000m
DE,BE,3000m - 4500m
DE,EF,3000m - 4500m
DE,BP,>4500m
DE,CQ,>4500m
DE,AP,>4500m
DE,DL,1500m - 3000m
DE,DO,3000m - 4500m
DE,AJ,3000m - 4500m
DE,AM,>4500m
DE,BM,3000m - 4500m
DE,EI,3000m - 4500m
DE,BB,3000m - 4500m
DE,DC,500m - 1500m
DE,EM,>4500m
DE,DG,<500m
DE,CU,3000m - 4500m
DE,CX,1500m - 3000m
DE,DJ,500m - 1500m
DE,BI,1500m - 3000m
DE,AC,>4500m
DE,CF,1500m - 3000m
DE,CC,1500m - 3000m
DE,DY,500m - 1500m
DE,BZ,1500m - 3000m
DE,CI,1500m - 3000m
DE,CL,3000m - 4500m
DE,AW,3000m - 4500m
DE,AH,>4500m
DE,DS,3000m - 4500m
DE,AZ,>4500m
DE,EB,1500m - 3000m
DE,BW,3000m - 4500m
DE,BT,>4500m
DE,ED,1500m - 3000m
DE,DV,>4500m
DE,AE,>4500m
DE,AT,3000m - 4500m
DE,CO,3000m - 4500m
DE,DA,1500m - 3000m
DE,BF,3000m - 4500m
DE,EG,3000m - 4500m
DE,BQ,>4500m
DE,CR,>4500m
DE,AQ,>4500m
DE,DM,1500m - 3000m
DE,DP,3000m - 4500m
DE,AK,3000m - 4500m
DE,AN,>4500m
DE,BN,3000m - 4500m
DE,EJ,3000m - 4500m
DE,BC,3000m - 4500m
DE,DD,500m - 1500m
CS,BJ,>4500m
CS,EK,>4500m
CS,DE,3000m - 4500m
CS,CS,<500m
CS,CV,500m - 1500m
CS,DH,>4500m
CS,BG,1500m - 3000m
CS,AA,3000m - 4500m
CS,CD,>4500m
CS,CA,1500m - 3000m
CS,DW,>4500m
CS,BX,500m - 1500m
CS,CG,>4500m
CS,CJ,>4500m
CS,AU,3000m - 4500m
CS,AF,3000m - 4500m
CS,DQ,>4500m
CS,AX,1500m - 3000m
CS,DZ,>4500m
CS,BU,500m - 1500m
CS,BR,500m - 1500m
CS,EC,>4500m
CS,DT,>4500m
CS,AD,3000m - 4500m
CS,AR,1500m - 3000m
CS,CM,>4500m
CS,CY,1500m - 3000m
CS,BD,1500m - 3000m
CS,EE,>4500m
CS,BO,>4500m
CS,CP,>4500m
CS,AO,1500m - 3000m
CS,DK,>4500m
CS,DN,>4500m
CS,AI,3000m - 4500m
CS,AL,1500m - 3000m
CS,BL,>4500m
CS,EH,>4500m
CS,BA,1500m - 3000m
CS,DB,1500m - 3000m
CS,BK,>4500m
CS,EL,>4500m
CS,DF,3000m - 4500m
CS,CT,<500m
CS,CW,500m - 1500m
CS,DI,>4500m
CS,BH,1500m - 3000m
CS,AB,3000m - 4500m
CS,CE,>4500m
CS,CB,1500m - 3000m
CS,DX,>4500m
CS,BY,500m - 1500m
CS,CH,>4500m
CS,CK,>4500m
CS,AV,3000m - 4500m
CS,AG,3000m - 4500m
CS,DR,>4500m
CS,AY,1500m - 3000m
CS,EA,>4500m
CS,BV,500m - 1500m
CS,BS,500m - 1500m
CS,DU,>4500m
CS,AS,1500m - 3000m
CS,CN,>4500m
CS,CZ,1500m - 3000m
CS,BE,1500m - 3000m
CS,EF,>4500m
CS,BP,>4500m
CS,CQ,>4500m
CS,AP,1500m - 3000m
CS,DL,>4500m
CS,DO,>4500m
CS,AJ,3000m - 4500m
CS,AM,1500m - 3000m
CS,BM,>4500m
CS,EI,>4500m
CS,BB,1500m - 3000m
CS,DC,1500m - 3000m
CS,EM,>4500m
CS,DG,3000m - 4500m
CS,CU,<500m
CS,CX,500m - 1500m
CS,DJ,>4500m
CS,BI,1500m - 3000m
CS,AC,3000m - 4500m
CS,CF,>4500m
CS,CC,1500m - 3000m
CS,DY,>4500m
CS,BZ,500m - 1500m
CS,CI,>4500m
CS,CL,>4500m
CS,AW,3000m - 4500m
CS,AH,3000m - 4500m
CS,DS,>4500m
CS,AZ,1500m - 3000m
CS,EB,>4500m
CS,BW,500m - 1500m
CS,BT,500m - 1500m
CS,ED,>4500m
CS,DV,>4500m
CS,AE,3000m - 4500m
CS,AT,1500m - 3000m
CS,CO,>4500m
CS,DA,1500m - 3000m
CS,BF,1500m - 3000m
CS,EG,>4500m
CS,BQ,>4500m
CS,CR,>4500m
CS,AQ,1500m - 3000m
CS,DM,>4500m
CS,DP,>4500m
CS,AK,3000m - 4500m
CS,AN,1500m - 3000m
CS,BN,>4500m
CS,EJ,>4500m
CS,BC,1500m - 3000m
CS,DD,1500m - 3000m
CV,BJ,>4500m
CV,EK,>4500m
CV,DE,1500m - 3000m
CV,CS,500m - 1500m
CV,CV,<500m
CV,DH,3000m - 4500m
CV,BG,1500m - 3000m
CV,AA,3000m - 4500m
CV,CD,>4500m
CV,CA,500m - 1500m
CV,DW,3000m - 4500m
CV,BX,500m - 1500m
CV,CG,>4500m
CV,CJ,>4500m
CV,AU,1500m - 3000m
CV,AF,3000m - 4500m
CV,DQ,>4500m
CV,AX,1500m - 3000m
CV,DZ,>4500m
CV,BU,500m - 1500m
CV,BR,1500m - 3000m
CV,EC,>4500m
CV,DT,>4500m
CV,AD,3000m - 4500m
CV,AR,1500m - 3000m
CV,CM,>4500m
CV,CY,500m - 1500m
CV,BD,1500m - 3000m
CV,EE,>4500m
CV,BO,>4500m
CV,CP,>4500m
CV,AO,1500m - 3000m
CV,DK,>4500m
CV,DN,>4500m
CV,AI,3000m - 4500m
CV,AL,3000m - 4500m
CV,BL,>4500m
CV,EH,>4500m
CV,BA,1500m - 3000m
CV,DB,1500m - 3000m
CV,BK,>4500m
CV,EL,>4500m
CV,DF,1500m - 3000m
CV,CT,500m - 1500m
CV,CW,<500m
CV,DI,3000m - 4500m
CV,BH,1500m - 3000m
CV,AB,3000m - 4500m
CV,CE,>4500m
CV,CB,500m - 1500m
CV,DX,3000m - 4500m
CV,BY,500m - 1500m
CV,CH,>4500m
CV,CK,>4500m
CV,AV,1500m - 3000m
CV,AG,3000m - 4500m
CV,DR,>4500m
CV,AY,1500m - 3000m
CV,EA,>4500m
CV,BV,500m - 1500m
CV,BS,1500m - 3000m
CV,DU,>4500m
CV,AS,1500m - 3000m
CV,CN,>4500m
CV,CZ,500m - 1500m
CV,BE,1500m - 3000m
CV,EF,>4500m
CV,BP,>4500m
CV,CQ,>4500m
CV,AP,1500m - 3000m
CV,DL,>4500m
CV,DO,>4500m
CV,AJ,3000m - 4500m
CV,AM,3000m - 4500m
CV,BM,>4500m
CV,EI,>4500m
CV,BB,1500m - 3000m
CV,DC,1500m - 3000m
CV,EM,>4500m
CV,DG,1500m - 3000m
CV,CU,500m - 1500m
CV,CX,<500m
CV,DJ,3000m - 4500m
CV,BI,1500m - 3000m
CV,AC,3000m - 4500m
CV,CF,>4500m
CV,CC,500m - 1500m
CV,DY,3000m - 4500m
CV,BZ,500m - 1500m
CV,CI,>4500m
CV,CL,>4500m
CV,AW,1500m - 3000m
CV,AH,3000m - 4500m
CV,DS,>4500m
CV,AZ,1500m - 3000m
CV,EB,>4500m
CV,BW,500m - 1500m
CV,BT,1500m - 3000m
CV,ED,>4500m
CV,DV,>4500m
CV,AE,3000m - 4500m
CV,AT,1500m - 3000m
CV,CO,>4500m
CV,DA,500m - 1500m
CV,BF,1500m - 3000m
CV,EG,>4500m
CV,BQ,>4500m
CV,CR,>4500m
CV,AQ,1500m - 3000m
CV,DM,>4500m
CV,DP,>4500m
CV,AK,3000m - 4500m
CV,AN,3000m - 4500m
CV,BN,>4500m
CV,EJ,>4500m
CV,BC,1500m - 3000m
CV,DD,1500m - 3000m
DH,BJ,1500m - 3000m
DH,EK,3000m - 4500m
DH,DE,500m - 1500m
DH,CS,>4500m
DH,CV,3000m - 4500m
DH,DH,<500m
DH,BG,3000m - 4500m
DH,AA,>4500m
DH,CD,500m - 1500m
DH,CA,1500m - 3000m
DH,DW,500m - 1500m
DH,BX,3000m - 4500m
DH,CG,1500m - 3000m
DH,CJ,1500m - 3000m
DH,AU,3000m - 4500m
DH,AF,>4500m
DH,DQ,1500m - 3000m
DH,AX,>4500m
DH,DZ,500m - 1500m
DH,BU,>4500m
DH,BR,>4500m
DH,EC,1500m - 3000m
DH,DT,3000m - 4500m
DH,AD,>4500m
DH,AR,>4500m
DH,CM,3000m - 4500m
DH,CY,3000m - 4500m
DH,BD,3000m - 4500m
DH,EE,1500m - 3000m
DH,BO,3000m - 4500m
DH,CP,3000m - 4500m
DH,AO,>4500m
DH,DK,500m - 1500m
DH,DN,1500m - 3000m
DH,AI,>4500m
DH,AL,>4500m
DH,BL,3000m - 4500m
DH,EH,3000m - 4500m
DH,BA,>4500m
DH,DB,1500m - 3000m
DH,BK,1500m - 3000m
DH,EL,3000m - 4500m
DH,DF,500m - 1500m
DH,CT,>4500m
DH,CW,3000m - 4500m
DH,DI,<500m
DH,BH,3000m - 4500m
DH,AB,>4500m
DH,CE,500m - 1500m
DH,CB,1500m - 3000m
DH,DX,500m - 1500m
DH,BY,3000m - 4500m
DH,CH,1500m - 3000m
DH,CK,1500m - 3000m
DH,AV,3000m - 4500m
DH,AG,>4500m
DH,DR,1500m - 3000m
DH,AY,>4500m
DH,EA,500m - 1500m
DH,BV,>4500m
DH,BS,>4500m
DH,DU,3000m - 4500m
DH,AS,>4500m
DH,CN,3000m - 4500m
DH,CZ,3000m - 4500m
DH,BE,3000m - 4500m
DH,EF,1500m - 3000m
DH,BP,3000m - 4500m
DH,CQ,3000m - 4500m
DH,AP,>4500m
DH,DL,500m - 1500m
DH,DO,1500m - 3000m
DH,AJ,>4500m
DH,AM,>4500m
DH,BM,3000m - 4500m
DH,EI,3000m - 4500m
DH,BB,>4500m
DH,DC,1500m - 3000m
DH,EM,3000m - 4500m
DH,DG,500m - 1500m
DH,CU,>4500m
DH,CX,3000m - 4500m
DH,DJ,<500m
DH,BI,3000m - 4500m
DH,AC,>4500m
DH,CF,500m - 1500m
DH,CC,1500m - 3000m
DH,DY,500m - 1500m
DH,BZ,3000m - 4500m
DH,CI,1500m - 3000m
DH,CL,1500m - 3000m
DH,AW,3000m - 4500m
DH,AH,>4500m
DH,DS,1500m - 3000m
DH,AZ,>4500m
DH,EB,500m - 1500m
DH,BW,>4500m
DH,BT,>4500m
DH,ED,1500m - 3000m
DH,DV,3000m - 4500m
DH,AE,>4500m
DH,AT,>4500m
DH,CO,3000m - 4500m
DH,DA,3000m - 4500m
DH,BF,3000m - 4500m
DH,EG,1500m - 3000m
DH,BQ,3000m - 4500m
DH,CR,3000m - 4500m
DH,AQ,>4500m
DH,DM,500m - 1500m
DH,DP,1500m - 3000m
DH,AK,>4500m
DH,AN,>4500m
DH,BN,3000m - 4500m
DH,EJ,3000m - 4500m
DH,BC,>4500m
DH,DD,1500m - 3000m
BG,BJ,>4500m
BG,EK,>4500m
BG,DE,1500m - 3000m
BG,CS,1500m - 3000m
BG,CV,1500m - 3000m
BG,DH,3000m - 4500m
BG,BG,<500m
BG,AA,3000m - 4500m
BG,CD,3000m - 4500m
BG,CA,500m - 1500m
BG,DW,3000m - 4500m
BG,BX,500m - 1500m
BG,CG,3000m - 4500m
BG,CJ,>4500m
BG,AU,500m - 1500m
BG,AF,1500m - 3000m
BG,DQ,>4500m
BG,AX,1500m - 3000m
BG,DZ,3000m - 4500m
BG,BU,1500m - 3000m
BG,BR,3000m - 4500m
BG,EC,>4500m
BG,DT,>4500m
BG,AD,1500m - 3000m
BG,AR,500m - 1500m
BG,CM,>4500m
BG,CY,1500m - 3000m
BG,BD,500m - 1500m
BG,EE,>4500m
BG,BO,>4500m
BG,CP,>4500m
BG,AO,1500m - 3000m
BG,DK,3000m - 4500m
BG,DN,>4500m
BG,AI,1500m - 3000m
BG,AL,3000m - 4500m
BG,BL,>4500m
BG,EH,>4500m
BG,BA,1500m - 3000m
BG,DB,1500m - 3000m
BG,BK,>4500m
BG,EL,>4500m
BG,DF,1500m - 3000m
BG,CT,1500m - 3000m
BG,CW,1500m - 3000m
BG,DI,3000m - 4500m
BG,BH,<500m
BG,AB,3000m - 4500m
BG,CE,3000m - 4500m
BG,CB,500m - 1500m
BG,DX,3000m - 4500m
BG,BY,500m - 1500m
BG,CH,3000m - 4500m
BG,CK,>4500m
BG,AV,500m - 1500m
BG,AG,1500m - 3000m
BG,DR,>4500m
BG,AY,1500m - 3000m
BG,EA,3000m - 4500m
BG,BV,1500m - 3000m
BG,BS,3000m - 4500m
BG,DU,>4500m
BG,AS,500m - 1500m
BG,CN,>4500m
BG,CZ,1500m - 3000m
BG,BE,500m - 1500m
BG,EF,>4500m
BG,BP,>4500m
BG,CQ,>4500m
BG,AP,1500m - 3000m
BG,DL,3000m - 4500m
BG,DO,>4500m
BG,AJ,1500m - 3000m
BG,AM,3000m - 4500m
BG,BM,>4500m
BG,EI,>4500m
BG,BB,1500m - 3000m
BG,DC,1500m - 3000m
BG,EM,>4500m
BG,DG,1500m - 3000m
BG,CU,1500m - 3000m
BG,CX,1500m - 3000m
BG,DJ,3000m - 4500m
BG,BI,<500m
BG,AC,3000m - 4500m
BG,CF,3000m - 4500m
BG,CC,500m - 1500m
BG,DY,3000m - 4500m
BG,BZ,500m - 1500m
BG,CI,3000m - 4500m
BG,CL,>4500m
BG,AW,500m - 1500m
BG,AH,1500m - 3000m
BG,DS,>4500m
BG,AZ,1500m - 3000m
BG,EB,3000m - 4500m
BG,BW,1500m - 3000m
BG,BT,3000m - 4500m
BG,ED,>4500m
BG,DV,>4500m
BG,AE,1500m - 3000m
BG,AT,500m - 1500m
BG,CO,>4500m
BG,DA,1500m - 3000m
BG,BF,500m - 1500m
BG,EG,>4500m
BG,BQ,>4500m
BG,CR,>4500m
BG,AQ,1500m - 3000m
BG,DM,3000m - 4500m
BG,DP,>4500m
BG,AK,1500m - 3000m
BG,AN,3000m - 4500m
BG,BN,>4500m
BG,EJ,>4500m
BG,BC,1500m - 3000m
BG,DD,1500m - 3000m
AA,BJ,>4500m
AA,EK,>4500m
AA,DE,>4500m
AA,CS,3000m - 4500m
AA,CV,3000m - 4500m
AA,DH,>4500m
AA,BG,3000m - 4500m
AA,AA,<500m
AA,CD,>4500m
AA,CA,3000m - 4500m
AA,DW,>4500m
AA,BX,3000m - 4500m
AA,CG,>4500m
AA,CJ,>4500m
AA,AU,3000m - 4500m
AA,AF,1500m - 3000m
AA,DQ,>4500m
AA,AX,1500m - 3000m
AA,DZ,>4500m
AA,BU,1500m - 3000m
AA,BR,1500m - 3000m
AA,EC,>4500m
AA,DT,>4500m
AA,AD,500m - 1500m
AA,AR,1500m - 3000m
AA,CM,>4500m
AA,CY,>4500m
AA,BD,1500m - 3000m
AA,EE,>4500m
AA,BO,>4500m
AA,CP,>4500m
AA,AO,500m - 1500m
AA,DK,>4500m
AA,DN,>4500m
AA,AI,1500m - 3000m
AA,AL,500m - 1500m
AA,BL,>4500m
AA,EH,>4500m
AA,BA,1500m - 3000m
AA,DB,>4500m
AA,BK,>4500m
AA,EL,>4500m
AA,DF,>4500m
AA,CT,3000m - 4500m
AA,CW,3000m - 4500m
AA,DI,>4500m
AA,BH,3000m - 4500m
AA,AB,<500m
AA,CE,>4500m
AA,CB,3000m - 4500m
AA,DX,>4500m
AA,BY,3000m - 4500m
AA,CH,>4500m
AA,CK,>4500m
AA,AV,3000m - 4500m
AA,AG,1500m - 3000m
AA,DR,>4500m
AA,AY,1500m - 3000m
AA,EA,>4500m
AA,BV,1500m - 3000m
AA,BS,1500m - 3000m
AA,DU,>4500m
AA,AS,1500m - 3000m
AA,CN,>4500m
AA,CZ,>4500m
AA,BE,1500m - 3000m
AA,EF,>4500m
AA,BP,>4500m
AA,CQ,>4500m
AA,AP,500m - 1500m
AA,DL,>4500m
AA,DO,>4500m
AA,AJ,1500m - 3000m
AA,AM,500m - 1500m
AA,BM,>4500m
AA,EI,>4500m
AA,BB,1500m - 3000m
AA,DC,>4500m
AA,EM,>4500m
AA,DG,>4500m
AA,CU,3000m - 4500m
AA,CX,3000m - 4500m
AA,DJ,>4500m
AA,BI,3000m - 4500m
AA,AC,<500m
AA,CF,>4500m
AA,CC,3000m - 4500m
AA,DY,>4500m
AA,BZ,3000m - 4500m
AA,CI,>4500m
AA,CL,>4500m
AA,AW,3000m - 4500m
AA,AH,1500m - 3000m
AA,DS,>4500m
AA,AZ,1500m - 3000m
AA,EB,>4500m
AA,BW,1500m - 3000m
AA,BT,1500m - 3000m
AA,ED,>4500m
AA,DV,>4500m
AA,AE,500m - 1500m
AA,AT,1500m - 3000m
AA,CO,>4500m
AA,DA,>4500m
AA,BF,1500m - 3000m
AA,EG,>4500m
AA,BQ,>4500m
AA,CR,>4500m
AA,AQ,500m - 1500m
AA,DM,>4500m
AA,DP,>4500m
AA,AK,1500m - 3000m
AA,AN,500m - 1500m
AA,BN,>4500m
AA,EJ,>4500m
AA,BC,1500m - 3000m
AA,DD,>4500m
CD,BJ,1500m - 3000m
CD,EK,3000m - 4500m
CD,DE,1500m - 3000m
CD,CS,>4500m
CD,CV,>4500m
CD,DH,500m - 1500m
CD,BG,3000m - 4500m
CD,AA,>4500m
CD,CD,<500m
CD,CA,3000m - 4500m
CD,DW,1500m - 3000m
CD,BX,3000m - 4500m
CD,CG,500m - 1500m
CD,CJ,1500m - 3000m
CD,AU,3000m - 4500m
CD,AF,>4500m
CD,DQ,1500m - 3000m
CD,AX,>4500m
CD,DZ,1500m - 3000m
CD,BU,>4500m
CD,BR,>4500m
CD,EC,1500m - 3000m
CD,DT,3000m - 4500m
CD,AD,>4500m
CD,AR,>4500m
CD,CM,1500m - 3000m
CD,CY,3000m - 4500m
CD,BD,3000m - 4500m
CD,EE,1500m - 3000m
CD,BO,3000m - 4500m
CD,CP,3000m - 4500m
CD,AO,>4500m
CD,DK,500m - 1500m
CD,DN,1500m - 3000m
CD,AI,3000m - 4500m
CD,AL,>4500m
CD,BL,1500m - 3000m
CD,EH,3000m - 4500m
CD,BA,>4500m
CD,DB,1500m - 3000m
CD,BK,1500m - 3000m
CD,EL,3000m - 4500m
CD,DF,1500m - 3000m
CD,CT,>4500m
CD,CW,>4500m
CD,DI,500m - 1500m
CD,BH,3000m - 4500m
CD,AB,>4500m
CD,CE,<500m
CD,CB,3000m - 4500m
CD,DX,1500m - 3000m
CD,BY,3000m - 4500m
CD,CH,500m - 1500m
CD,CK,1500m - 3000m
CD,AV,3000m - 4500m
CD,AG,>4500m
CD,DR,1500m - 3000m
CD,AY,>4500m
CD,EA,1500m - 3000m
CD,BV,>4500m
CD,BS,>4500m
CD,DU,3000m - 4500m
CD,AS,>4500m
CD,CN,1500m - 3000m
CD,CZ,3000m - 4500m
CD,BE,3000m - 4500m
CD,EF,1500m - 3000m
CD,BP,3000m - 4500m
CD,CQ,3000m - 4500m
CD,AP,>4500m
CD,DL,500m - 1500m
CD,DO,1500m - 3000m
CD,AJ,3000m - 4500m
CD,AM,>4500m
CD,BM,1500m - 3000m
CD,EI,3000m - 4500m
CD,BB,>4500m
CD,DC,1500m - 3000m
CD,EM,3000m - 4500m
CD,DG,1500m - 3000m
CD,CU,>4500m
CD,CX,>4500m
CD,DJ,500m - 1500m
CD,BI,3000m - 4500m
CD,AC,>4500m
CD,CF,<500m
CD,CC,3000m - 4500m
CD,DY,1500m - 3000m
CD,BZ,3000m - 4500m
CD,CI,500m - 1500m
CD,CL,1500m - 3000m
CD,AW,3000m - 4500m
CD,AH,>4500m
CD,DS,1500m - 3000m
CD,AZ,>4500m
CD,EB,1500m - 3000m
CD,BW,>4500m
CD,BT,>4500m
CD,ED,1500m - 3000m
CD,DV,3000m - 4500m
CD,AE,>4500m
CD,AT,>4500m
CD,CO,1500m - 3000m
CD,DA,3000m - 4500m
CD,BF,3000m - 4500m
CD,EG,1500m - 3000m
CD,BQ,3000m - 4500m
CD,CR,3000m - 4500m
